,language,position,gender_tuned,income_level,price
756,English,105,male,65297.51751,39
757,English,356,female,65297.51751,33
758,English,83,male,42330.11754,27
759,English,355,female,3485.084218,12
760,English,157,male,65297.51751,0
761,English,425,male,42330.11754,33
762,English,77,male,46194.72523,15
763,English,122,female,65297.51751,18
764,English,11,male,46194.72523,30
765,English,154,male,55060.3261,18
766,English,256,female,46194.72523,18
767,English,34,male,65297.51751,33
768,English,284,female,65297.51751,24
769,English,181,male,65297.51751,18
770,English,383,male,6001.400814,15
771,English,128,male,65297.51751,27
772,English,116,male,65297.51751,15
773,English,103,male,42330.11754,18
774,English,172,female,6001.400814,18
775,English,390,female,55060.3261,24
776,English,58,female,65297.51751,18
777,English,424,male,42330.11754,21
778,English,237,female,42084.35337,30
779,English,203,male,42330.11754,0
780,English,201,female,3485.084218,9
781,English,159,female,42330.11754,27
782,English,176,female,42330.11754,30
783,English,56,female,42330.11754,15
784,English,308,male,42330.11754,21
785,English,96,male,42330.11754,15
786,English,191,male,55060.3261,30
787,English,67,female,42330.11754,18
788,English,211,male,46194.72523,24
789,English,3,male,65297.51751,21
790,English,266,female,42330.11754,27
791,English,133,male,46194.72523,27
792,English,361,male,42330.11754,21
